Id,Prediction
2000,882
2001,1102
2002,1102
2003,1001
2004,1603
2005,2301
2006,722
2007,1504
2008,6700
2009,5403
2010,1301
2011,856
2012,765
2013,1304
2014,2301
2015,9204
2016,1201
2017,1800
2018,1101
2019,2300
2020,1203
2021,1103
2022,931
2023,2004
2024,1400
2025,9000
2026,1603
2027,1102
2028,1700
2029,4302
2030,2700
2031,4504
2032,2400
2033,746
2034,5304
2035,2202
2036,698
2037,3403
2038,1602
2039,1203
2040,637
2041,1004
2042,2003
2043,703
2044,3801
2045,1102
2046,1203
2047,928
2048,17100
2049,5302
2050,1101
2051,1102
2052,822
2053,12800
2054,1304
2055,830
2056,2104
2057,899
2058,1404
2059,968
2060,1501
2061,1801
2062,814
2063,947
2064,698
2065,508
2066,956
2067,1700
2068,1100
2069,2902
2070,531
2071,4002
2072,1304
2073,1701
2074,399
2075,795
2076,8303
2077,1400
2078,3603
2079,4303
2080,8704
2081,1904
2082,1301
2083,1103
2084,802
2085,1703
2086,1501
2087,725
2088,899
2089,23902
2090,4803
2091,1103
2092,2002
2093,2000
2094,904
2095,1402
2096,268
2097,895
2098,1101
2099,3301
2100,1401
2101,524
2102,1604
2103,1102
2104,29901
2105,706
2106,689
2107,1402
2108,726
2109,987
2110,2403
2111,1500
2112,12700
2113,1503
2114,865
2115,1500
2116,1201
2117,7700
2118,376
2119,2603
2120,5603
2121,1900
2122,2902
2123,2704
2124,2503
2125,1200
2126,1102
2127,1401
2128,2002
2129,543
2130,3402
2131,1501
2132,5903
2133,2004
2134,1204
2135,9701
2136,760
2137,2501
2138,10300
2139,3001
2140,798
2141,4502
2142,3701
2143,538
2144,15801
2145,724
2146,798
2147,1201
2148,867
2149,1404
2150,1700
2151,16904
2152,4103
2153,1101
2154,893
2155,914
2156,978
2157,1303
2158,6404
2159,1102
2160,1400
2161,629
2162,1503
2163,1404
2164,2401
2165,547
2166,2203
2167,1104
2168,343
2169,928
2170,5601
2171,3301
2172,824
2173,1402
2174,1501
2175,3901
2176,1404
2177,1702
2178,1202
2179,2001
2180,1100
2181,8802
2182,1404
2183,7304
2184,1703
2185,5000
2186,7204
2187,1700
2188,581
2189,2504
2190,4900
2191,1303
2192,1204
2193,3603
2194,1900
2195,2503
2196,1101
2197,9304
2198,1500
2199,1604
2200,1403
2201,847
2202,2004
2203,527
2204,3001
2205,3403
2206,1802
2207,1901
2208,1300
2209,1902
2210,820
2211,662
2212,1501
2213,713
2214,1701
2215,17703
2216,19201
2217,797
2218,479
2219,9101
2220,880
2221,3302
2222,8500
2223,1904
2224,2401
2225,7302
2226,13902
2227,2000
2228,2501
2229,1303
2230,1102
2231,527
2232,26900
2233,2204
2234,935
2235,2500
2236,9603
2237,2303
2238,822
2239,1102
2240,1104
2241,1900
2242,866
2243,692
2244,1103
2245,2304
2246,2400
2247,2202
2248,1002
2249,1301
2250,1504
2251,4304
2252,1204
2253,764
2254,762
2255,2902
2256,1504
2257,786
2258,474
2259,8700
2260,2700
2261,2204
2262,3201
2263,3000
2264,2103
2265,4603
2266,2302
2267,2303
2268,1401
2269,4404
2270,2004
2271,1604
2272,3202
2273,1000
2274,880
2275,1404
2276,10802
2277,1203
2278,2000
2279,1601
2280,840
2281,699
2282,1102
2283,662
2284,703
2285,5801
2286,2503
2287,1904
2288,1004
2289,935
2290,1903
2291,3001
2292,862
2293,2202
2294,2804
2295,1402
2296,1203
2297,884
2298,601
2299,1301
2300,596
2301,3801
2302,1001
2303,956
2304,2902
2305,817
2306,774
2307,868
2308,1500
2309,4803
2310,1504
2311,1704
2312,570
2313,1602
2314,405
2315,1101
2316,1003
2317,10802
2318,1000
2319,544
2320,1002
2321,2303
2322,1703
2323,1404
2324,1904
2325,529
2326,573
2327,753
2328,931
2329,4301
2330,334
2331,2002
2332,1102
2333,1501
2334,1101
2335,1102
2336,8200
2337,3301
2338,2901
2339,6601
2340,2400
2341,2302
2342,8902
2343,1502
2344,923
2345,6103
2346,877
2347,824
2348,700
2349,1200
2350,983
2351,1702
2352,3000
2353,1900
2354,1100
2355,822
2356,1402
2357,1203
2358,1101
2359,1404
2360,1401
2361,4501
2362,842
2363,3500
2364,772
2365,2401
2366,1302
2367,1004
2368,1601
2369,1204
2370,1302
2371,927
2372,1102
2373,1900
2374,854
2375,907
2376,1902
2377,3901
2378,1400
2379,462
2380,3601
2381,21000
2382,16104
2383,5104
2384,1803
2385,995
2386,448
2387,6502
2388,845
2389,1700
2390,1903
2391,1104
2392,1004
2393,11904
2394,1800
2395,1303
2396,880
2397,887
2398,1201
2399,918
2400,1200
2401,1402
2402,938
2403,897
2404,1904
2405,3703
2406,691
2407,639
2408,14902
2409,1004
2410,767
2411,2004
2412,12303
2413,232
2414,4701
2415,872
2416,904
2417,753
2418,2201
2419,751
2420,1304
2421,2603
2422,2102
2423,709
2424,1101
2425,6201
2426,1101
2427,904
2428,3701
2429,2201
2430,1401
2431,972
2432,813
2433,1301
2434,962
2435,1301
2436,4802
2437,908
2438,221
2439,1000
2440,911
2441,3602
2442,2604
2443,915
2444,1203
2445,1100
2446,2403
2447,3302
2448,2500
2449,747
2450,5000
2451,6102
2452,466
2453,2403
2454,1900
2455,793
2456,941
2457,1101
2458,2202
2459,5904
2460,20800
